,ADDITIONAL DESCRIPTION
30,Bhavnagar & Botad
31,"Banaskantha (Palanpur), Sabarkantha (Himatnagar), Mehsana, Patan, Aravalli"
32,"A to N of Ahmedabad, Gandhinagar"
34,"O to Z of Ahmedabad, Surendranagar"
37,"i) (Company) or principal place of business situated in the district of Bhavnagar with income or loss above Rs.20 Lacs, their MDs, Directors, Secretaries,
ii)(Individual) of Bhavnagar District of areas of old Ward No. 10,13,15,16,17,18,19 & 20 of Bhavnagar Municipal Corporation with income or loss above Rs.15 Lacs.
iii)(Individual) of Bhavnagar District with income or loss above Rs.15 Lacs (Salaried)."
38,"All persons other than companies of Bhavnagar District of areas of old Ward No. 10,13, 17 & 18 of Bhavnagar Municipal Corporation with income or loss upto Rs.15 Lacs."
39,"(Company) or principal place of business situated in the Ahmedabad District with names beginning with alphabets ‘A’, (‘AA’ to ‘AM’);  with income or loss upto Rs.30 Lacs, their MDs, Directors, Secretaries."
40,"(Company) or principal place of business situated in the Ahmedabad District with names beginning with alphabets ‘C’ and alphabets ‘AQ’, ‘AR’, ‘AT’, ‘AU’ & ‘AV’;  with income or loss upto Rs.30 Lacs, their MDs, Directors, Secretaries."
47,"i) (Company) or principal place of business situated in the District of Gandhinagar ,excluding Kalol Taluka And  Mansa Taluka of District Gandhinagar including Amrapur Village and their MDs, Directors, Secretaries with income or loss above Rs.20 Lacs.
ii)(Individual) of District of Gandhinagar ,excluding Kalol Taluka and Mansa Taluka of District Gandhinagar including Amrapur Village with income or loss above Rs.15 Lacs."
48,"i) (Company) or principal place of business situated in the of District of Gandhinagar, excluding Kalol and Mansa Taluka and their MDs, Directors, Secretaries with income or loss upto Rs.20 Lacs, whose name begin with any of the alphabet letters ‘A’ or ‘B’ or ‘C’ or ‘D’ or ‘E’ or ‘F’.
ii)(Individual) of District of Gandhinagar, excluding Kalol and Mansa Taluka with income or loss upto Rs.15 Lacs, whose name begin with any of the alphabet letters ‘A’ or ‘B’ or ‘C’ or ‘D’ or ‘E’ or ‘F’."
49,"(Company) or principal place of business situated in the Ahmedabad District with names beginning with alphabets ‘SA’ or  ‘SB’ or ‘SC’ or ‘SD’ or ‘SE’ or ‘SF’ or ’SG’ or ‘SI’ or ‘T’; with income or loss upto Rs.30 Lacs, their MDs, Directors, Secretaries."
56,"i) All Persons being companies registered under the Companies Act, 2013 or under the Companies Act, 1956 with names beginning with alphabets ‘A’ to ‘L’ and having its registered office or principal place of business situated in the district of Bhavnagar with income or loss upto Rs.20 Lacs, their MDs, Directors, Secretaries,
ii)(Individual) of Bhavnagar District of areas of old Ward No.15,16,19 & 20 of Bhavnagar Municipal Corporation with names beginning with alphabets ‘A’ to ‘L’ with income or loss above Rs.15 Lacs and having principal source of income other than Salary."
57,"(Company) or principal place of business situated in the Ahmedabad District with names beginning with alphabets ‘A’ and ‘B’ with income or loss above Rs.30 Lacs, their MDs, Directors, Secretaries."
58,"(Company) or principal place of business situated in the of Ahmedabad District with names beginning with alphabets ‘E’ to ‘I’ with income or loss above Rs.30 Lacs, their MDs, Directors, Secretaries, Other than those falling under the jurisdiction of Addl. Jt.CIT, Range 1(3) (All Brokers and Sub Brokers)."
59,"(Company) or principal place of business situated in the Ahmedabad District with names beginning with alphabets ‘E’ and ‘G’; with income or loss upto Rs.30 Lacs, their MDs, Directors, Secretaries, Other than those falling under the jurisdiction of Addl. Jt.CIT, Range 1(3) (All Brokers and Sub Brokers)."
64,"(Company) or principal place of business situated in the of Ahmedabad District with names beginning with alphabets ‘N’ or 'O or ‘P'with income or loss above Rs.30 Lacs, their MDs, Directors, Secretaries."
65,"(Company) or principal place of business situated in the Ahmedabad District with names beginning with alphabets ‘N’, with income or loss upto Rs.30 Lacs, their MDs, Directors, Secretaries."
66,"(Company) or principal place of business situated in the of Ahmedabad District with names beginning with alphabets ‘S’ or  ‘U' or ‘W’ or ‘Y’ with income or loss above Rs.30 Lacs, their MDs, Directors, Secretaries."
74,"TERRITORIAL AREA
Phulpur, Handia, Soraon, Karchana, Meja, Koraon, Bara
Tehsils of Allahabad District and in the following Municipal
Wards / localities / mohallas of Allahabad City:-Malakraj,
Bairahna. Old Lashkar Lines (as comprised in Ward No. 2):
Govindpur, PuraGaderia,SaraiLaj, Bhulaikapura (as comprised in Ward No.3); Krishna Nagar, Talab Naval Rai (as comprised in Ward-No.S); Mumfordgarij, NayaPurwa, Stanley Road,RaiBahadur Ram Charan Das Road( as comprised in Ward No.9); Jahagirabad, Mahewa Patti. PurabUparhar. Indalpur, ChakLalMohammad.ChakAtaullah, Glass Factory,
Jahangirahad. Kharkauni, Bhatta, Chandpur ( as comprisied in Ward No. 10): Tagore Town, MotiLaI Nehru Road, Amar NathJhaMarg, Madan Mohan MalviyaMarg, Tagore Town, JawaharLal Nehru Road, FatehpurBichuwa, Hashimpur. Hashimpur Road, C.Y, Chintamani Road, Mahatma Gandhi Marg, Liddle Road, MotiLal Nehru Road, (as comprised in Ward No.11); Railway Kshetra¬NawabYousuf Road, Railway Colony, Balaipur
Colony, Loco Colony East, Loco Colony West, Loco Yard,
Coaching Yard, Hastings Road,Sarojini Naidu Marg., Napier
Road, Drumond Road, Auckland Road, M.G.Marg,
P.D.Tandon Road, Elgin Road, Edmonston Road, Thomhil Road, Muir Road, Clive Road, Colvin Road, Railway Colony North, Traffic Colony West, Traffic Colony East (as comprised in Ward.No.I3); BaghambhariGaddi, BuxiKhurd (as comprised in Ward No.I4); Civil KshetraPratham- NawabYousuf Road, Mahatma Gandhi Marg,
LalBahadurShastriMarg, TashkantMarg, Clive Road, Mehta
ChikitsalayaMarg, Stratchy Road, Sardar Patel Marg, Smith
Road, Cooper Road, Loyal Road, Kamla Nehru Road,Kasturba Gandhi Marg(as comprised in Ward No.I6); Civil Kshetra-Il, Clive Road, Stratchey Road, Cooper Road, Kasturba Gandhi Marg, Kamla Nehru Road, P.D. TandonMarg, TejBahadurSapru Road, TashkantMarg, Maharishi DayanandMarg, Whole area of Muir Road, Layal Road (as comprised in Ward No.17); Rajapur, Thornhill Road, P.D. Tandon Road, Minto Road, Muir Road, Stanley Road, South part of N.K.Mukherjee Road, Circular Road,
Newada including Ashok Nagar, N K. Mukherjee Road,
Hastings Road, Drumond Road, Stratchcy Road, Clive Road(as comprised in Ward No.I8); Katghar- Katghar, Baluaghat (as comprised in Ward No.20); Allenganj, Ram Priya Road, ChotaBaghada, Dharhariya, Allenganj, Karanpur including Road going towards Prayag Station, Church Lane, MotiLal Nehru Road, Sir P.C.Banerjee Road, Bund Road, Ram NarainLal Road, Master Dwarika Prasad Road, Master ZahrulHasan Road, Ganga NathJhaMarg North Part (as comprised in Ward No.21); Phaphamau Bazar-Village Phaphamau, Shivkuti,Chilla (as comprised in Ward No.22); PuraPadain, Daraganj, PuraDalel ((as
comprised in Ward N0.23); Naini-DubeyKaTalab, Naini
Railway Colony, Cheoki, NainiTaluka, NainiDadri, NaiBazar,ChakDaud Nagar, Kazipur, Uparhar, Daud Nagar
(as comprised in Ward No.25); Muirabad, Rajapur, Beligaon, Stanley Road (as comprised in Ward No.27); Salory, KailashPuri, ChandpurSalory, Om Gayatri Nagar, Sadiyabad, Shuturkhana «as comprised in Ward NO.28); Madhwaapur,TularamBagh, Sohbatiabagh, New Lashkar Lines (as comprised in Ward No.29); ChakBhatai, PuraFateh Mohammed, Lokpur «as comprised in Ward No.32); ChakDondi, ChakFaizullah, Jail Area (as comprised
inWard No.33); Teliarganj, Mehdauri, Shilakhana,
Jondhwal (as comprised in Ward No.34); ChakRaghunath,
Bongwa, ChakDondi (as comprised in Ward No.35);
Shararabagh, Kothaparcha, Croswait Road, ChaurchandMitra Road, Shahrarabagh, Idgah, GosaiTola,LakhpatRai Lane, K.P. Kakkar Road, Shiv CharanLal Road( as comprised in Ward No.36); Mohatsimganj, BadshashiMandi (as comprised in Ward No.37); Darbhanga Castle, Baba JI KaBagh, PannaLal Road, Colonelganj,
Lowther Road, C. Y. Chintamani Road, Maharishi
DayanandMarg, AmarnathJhaMarg, MotiLal Nehru Road,
Kamla Nehru Road, Eastern Part of M.G. Marg to Allahabad
University Road (as comprised in Ward No.38); Rambagh-
Lowther Road, Ram Bagh complete area, SevaSamiti Road,
Bai-ka-bagh, G.T.Road, Both side of Eastern area of
Lowther Road, TriveniIi Road(as comprised in Ward No.39);
Mutthiganj, MahbiranGali seas comprised in Ward No.40);
Azad Square(South Malaka), North Malaka, Swarup Rani
Hospital, ManovigyanShaIa, Malaka Colony, BadlepurKayasthPathshala, Hewet Road, Lowther Road,
M.G.Road, K.P.College, Niranjan Cinema, Easter part of
M.G. Margfrom Railway Over Bridge(as comprised in Ward
No.4l); Daraganj-Daraganj, Mori, MeeraGali, BuxiKalan,
BuxiKhurd (as comprised in Ward N0.43), Bakhtiari,
Kasturba Gandhi Marg, Muir Road, Master ZahrulHasan
Road, University Road, Katra, Southern Part of ChintamaniGhosh Road, Mission Compound(as comprised in Ward No.45); NaiBasti-NaiBasti, Mutthiganj (as comprised in Ward No.46), AlopiBagh, Matiara(as comprised in Ward No.47); Bahadurganj-Bahadurganj,
Mutthiganj including Hatia(as comprisedin Ward No.51);
PuraDhaku-NaiBasti, PuraDhaku(as comprised in Ward
No.52); BadshahiMandi, JauhariTola, Chak, KuchaShyam
Das, Chahchand, Pandariba, BadshahiMandi, Johnstonganj(as comprised in Ward No.56); Chaukhandi, Purawaldi (as comprised in Ward No.57); Khalasi Line¬Khalasi Line, Triveni Road, Centre part of ShankerLalBhargava Road (as comprised in Ward No.58);New Katra, Muir Road, Stanley Road, LajpatRai Road, Master ZahrulHasan Road, Kasturba Gandhi Marg, Beli Road, A-Beli Road, B-Be1i Road, C-Be1i Road, Beli Revenue, Batuk Chand Banerjee Road, New Katra Extension, Mission Road ( as comprised in Ward No.60); Katra¬ Master ZahrulHasan Road, Both side of Luxmi Talkies, Ganga NathJhaMarg, Southern Part of ZahrulHasan Road to University Road, Katra, Northern Part of Chin tam aniGhosh Road, University Road, Mission Road, Fakireganj (as comprised in Ward No.61); Bharadwajpuram, PuraDalel, Allahpur, Dandia, Sohbatiabagh (as comprised in Ward No.62); PuraDalel,BaghambariGaddi as comprised in Ward No.65),Meerganj,Tripolia,MahajaniTola(as comprised in Ward No.70).Chowk.

1. (Individual) 
- (Salaried)
- returned income/loss below Rs. 10 lakh
- In the area mentioned above
- first name starting with alphabets 'A' to 'F'

2. (Individual) 
-  (Non-Salaried) 
- returned income/loss below Rs. 10 lakh
-  having principal place of business is within the territorial area mentioned above
- first name starting with alphabets 'A' to 'F'

3.(Salaried)
- Income from government salary residing within Allahabad District
- total income below Rs. 10 lakh
- first name starting with alphabets 'A' to 'F'"
75,"1. (Individual) 
- (Salaried)
- returned income/loss below Rs. 10 lakh
- In the area of Revenue district of Bhadohi
- First name begin with the alphabet ‘N’ to ‘Z’

2. (Individual) 
-  (Non-Salaried) 
- returned income/loss below Rs. 10 lakh
-  having principal place of business is within the territorial area of Revenue district of Bhadohi
- First name begin with the alphabet ‘N’ to ‘Z’

3. Company (including its MD or director or managing agents & representative assessee) 
- returned income/loss below Rs. 15 lakh
- having principal place of business or profession is within the territorial area of Revenue district of Bhadohi
- First name begin with the alphabet ‘N’ to ‘Z’

4.(Salaried)
- total income below Rs. 10 lakh
- residing within the territorial area of Revenue district of Bhadohi
- Salary & pension cases
- First name begin with the alphabet ‘N’ to ‘Z’"
76,"TERRITORIAL AREA
Phulpur, Handia, Soraon, Karchana, Meja, Koraon, Bara
Tehsils of Allahabad District and in the following Municipal
Wards / localities / mohallas of Allahabad City:-Malakraj,
Bairahna. Old Lashkar Lines (as comprised in Ward No. 2):
Govindpur, PuraGaderia,SaraiLaj, Bhulaikapura (as comprised in Ward No.3); Krishna Nagar, Talab Naval Rai (as comprised in Ward-No.S); Mumfordgarij, NayaPurwa, Stanley Road,RaiBahadur Ram Charan Das Road( as comprised in Ward No.9); Jahagirabad, Mahewa Patti. PurabUparhar. Indalpur, ChakLalMohammad.ChakAtaullah, Glass Factory,
Jahangirahad. Kharkauni, Bhatta, Chandpur ( as comprisied in Ward No. 10): Tagore Town, MotiLaI Nehru Road, Amar NathJhaMarg, Madan Mohan MalviyaMarg, Tagore Town, JawaharLal Nehru Road, FatehpurBichuwa, Hashimpur. Hashimpur Road, C.Y, Chintamani Road, Mahatma Gandhi Marg, Liddle Road, MotiLal Nehru Road, (as comprised in Ward No.11); Railway Kshetra¬NawabYousuf Road, Railway Colony, Balaipur
Colony, Loco Colony East, Loco Colony West, Loco Yard,
Coaching Yard, Hastings Road,Sarojini Naidu Marg., Napier
Road, Drumond Road, Auckland Road, M.G.Marg,
P.D.Tandon Road, Elgin Road, Edmonston Road, Thomhil Road, Muir Road, Clive Road, Colvin Road, Railway Colony North, Traffic Colony West, Traffic Colony East (as comprised in Ward.No.I3); BaghambhariGaddi, BuxiKhurd (as comprised in Ward No.I4); Civil KshetraPratham- NawabYousuf Road, Mahatma Gandhi Marg,
LalBahadurShastriMarg, TashkantMarg, Clive Road, Mehta
ChikitsalayaMarg, Stratchy Road, Sardar Patel Marg, Smith
Road, Cooper Road, Loyal Road, Kamla Nehru Road,Kasturba Gandhi Marg(as comprised in Ward No.I6); Civil Kshetra-Il, Clive Road, Stratchey Road, Cooper Road, Kasturba Gandhi Marg, Kamla Nehru Road, P.D. TandonMarg, TejBahadurSapru Road, TashkantMarg, Maharishi DayanandMarg, Whole area of Muir Road, Layal Road (as comprised in Ward No.17); Rajapur, Thornhill Road, P.D. Tandon Road, Minto Road, Muir Road, Stanley Road, South part of N.K.Mukherjee Road, Circular Road,
Newada including Ashok Nagar, N K. Mukherjee Road,
Hastings Road, Drumond Road, Stratchcy Road, Clive Road(as comprised in Ward No.I8); Katghar- Katghar, Baluaghat (as comprised in Ward No.20); Allenganj, Ram Priya Road, ChotaBaghada, Dharhariya, Allenganj, Karanpur including Road going towards Prayag Station, Church Lane, MotiLal Nehru Road, Sir P.C.Banerjee Road, Bund Road, Ram NarainLal Road, Master Dwarika Prasad Road, Master ZahrulHasan Road, Ganga NathJhaMarg North Part (as comprised in Ward No.21); Phaphamau Bazar-Village Phaphamau, Shivkuti,Chilla (as comprised in Ward No.22); PuraPadain, Daraganj, PuraDalel ((as
comprised in Ward N0.23); Naini-DubeyKaTalab, Naini
Railway Colony, Cheoki, NainiTaluka, NainiDadri, NaiBazar,ChakDaud Nagar, Kazipur, Uparhar, Daud Nagar
(as comprised in Ward No.25); Muirabad, Rajapur, Beligaon, Stanley Road (as comprised in Ward No.27); Salory, KailashPuri, ChandpurSalory, Om Gayatri Nagar, Sadiyabad, Shuturkhana «as comprised in Ward NO.28); Madhwaapur,TularamBagh, Sohbatiabagh, New Lashkar Lines (as comprised in Ward No.29); ChakBhatai, PuraFateh Mohammed, Lokpur «as comprised in Ward No.32); ChakDondi, ChakFaizullah, Jail Area (as comprised
inWard No.33); Teliarganj, Mehdauri, Shilakhana,
Jondhwal (as comprised in Ward No.34); ChakRaghunath,
Bongwa, ChakDondi (as comprised in Ward No.35);
Shararabagh, Kothaparcha, Croswait Road, ChaurchandMitra Road, Shahrarabagh, Idgah, GosaiTola,LakhpatRai Lane, K.P. Kakkar Road, Shiv CharanLal Road( as comprised in Ward No.36); Mohatsimganj, BadshashiMandi (as comprised in Ward No.37); Darbhanga Castle, Baba JI KaBagh, PannaLal Road, Colonelganj,
Lowther Road, C. Y. Chintamani Road, Maharishi
DayanandMarg, AmarnathJhaMarg, MotiLal Nehru Road,
Kamla Nehru Road, Eastern Part of M.G. Marg to Allahabad
University Road (as comprised in Ward No.38); Rambagh-
Lowther Road, Ram Bagh complete area, SevaSamiti Road,
Bai-ka-bagh, G.T.Road, Both side of Eastern area of
Lowther Road, TriveniIi Road(as comprised in Ward No.39);
Mutthiganj, MahbiranGali seas comprised in Ward No.40);
Azad Square(South Malaka), North Malaka, Swarup Rani
Hospital, ManovigyanShaIa, Malaka Colony, BadlepurKayasthPathshala, Hewet Road, Lowther Road,
M.G.Road, K.P.College, Niranjan Cinema, Easter part of
M.G. Margfrom Railway Over Bridge(as comprised in Ward
No.4l); Daraganj-Daraganj, Mori, MeeraGali, BuxiKalan,
BuxiKhurd (as comprised in Ward N0.43), Bakhtiari,
Kasturba Gandhi Marg, Muir Road, Master ZahrulHasan
Road, University Road, Katra, Southern Part of ChintamaniGhosh Road, Mission Compound(as comprised in Ward No.45); NaiBasti-NaiBasti, Mutthiganj (as comprised in Ward No.46), AlopiBagh, Matiara(as comprised in Ward No.47); Bahadurganj-Bahadurganj,
Mutthiganj including Hatia(as comprisedin Ward No.51);
PuraDhaku-NaiBasti, PuraDhaku(as comprised in Ward
No.52); BadshahiMandi, JauhariTola, Chak, KuchaShyam
Das, Chahchand, Pandariba, BadshahiMandi, Johnstonganj(as comprised in Ward No.56); Chaukhandi, Purawaldi (as comprised in Ward No.57); Khalasi Line¬Khalasi Line, Triveni Road, Centre part of ShankerLalBhargava Road (as comprised in Ward No.58);New Katra, Muir Road, Stanley Road, LajpatRai Road, Master ZahrulHasan Road, Kasturba Gandhi Marg, Beli Road, A-Beli Road, B-Be1i Road, C-Be1i Road, Beli Revenue, Batuk Chand Banerjee Road, New Katra Extension, Mission Road ( as comprised in Ward No.60); Katra¬ Master ZahrulHasan Road, Both side of Luxmi Talkies, Ganga NathJhaMarg, Southern Part of ZahrulHasan Road to University Road, Katra, Northern Part of Chin tam aniGhosh Road, University Road, Mission Road, Fakireganj (as comprised in Ward No.61); Bharadwajpuram, PuraDalel, Allahpur, Dandia, Sohbatiabagh (as comprised in Ward No.62); PuraDalel,BaghambariGaddi as comprised in Ward No.65),Meerganj,Tripolia,MahajaniTola(as comprised in Ward No.70).Chowk.


1. (Individual) 
- (Salaried)
- returned income/loss of Rs. 10 lakh & above
- In the area mentioned above

2. (Individual) 
-  (Non-Salaried) 
- returned income/loss of Rs. 10 lakh & above
-  having principal place of business is within the territorial area mentioned above

3.(Salaried)
- Income from government salary residing within Allahabad District
- total income of Rs. 10 lakh & above"
77,"TERRITORIAL AREA
Chowk and Chowk & Chetganj Wards of Municipal Corporation
Varanasi & also in areas of Brahmapuri, Gali, Gwal Das
Sahu bearing No. K-36, K-37, K- 38 located in Mohalla Golghar &
Gopal Mandir pertaining to Kotwali Municipal Ward. District
of Bhadohi (Sant Ravi Das Nagar)

1. (Individual) 
- (Salaried)
- returned income/loss of Rs. 10 lakh & above
- In the area mentioned above

2. (Individual) 
-  (Non-Salaried) 
- returned income/loss of Rs. 10 lakh & above
-  having principal place of business is within the territorial mentioned above

3. Company (including its MD or director or managing agents & representative assessee) 
- returned income/loss of Rs. 15 lakh & above
- having principal place of business or profession is within the territorial area mentioned above

4.(Salaried)
- total income of Rs. 10 lakh & above
- residing within the territorial area mentioned above
- All Central/State Govt. (except Railways/Semi Govt./Private Sector/ Autonomous bodies (excluding BHU and other employees) including employees of Income Tax Department working in CIT, Varanasi Charge except those employees in whose case jurisdiction has been assigned to any other officer under the administrative control of CIT, Varanasi"
